APAC           7.9     -76.58       195
ARGC           9.585   -74.246      117.9
BBAC           2.022   -77.247      1716
BAR2           6.592   -73.184      1783
BRR            7.107   -73.712       104
BET            2.723   -75.418    5583.3
CAP2           8.646   -77.359       221
CAQC           4.402   -73.986      2041
CRJC           11.02   -72.882       825
TABC           5.011   -74.204      3500
CHI             4.63   -73.732      3140
CBOC           5.865   -76.012      1401
CRU            1.568   -76.952      2756
CVER           4.521   -74.074     3.604
CUM            0.941   -77.825      3482
DBB            7.017    -76.21       780
FLO2           1.583   -75.653       410
FOM            4.475   -73.859     2.386
GARC           2.187   -75.494      1973
GUA            2.542   -72.624       234
GUY2C          5.226   -75.383      3545
GR1C           3.003   -78.167        60
MAP            4.004   -81.607       190
JAMC           3.279   -76.674      1793
MACC           2.145   -73.848       322
RGSC           4.368   -74.186     3.276
CLEJA          3.536   -74.041       749
LCBC           8.857   -76.368        90
MAL             4.01   -77.332       112
NOR            5.564   -74.869     534.5
OCA            8.239    -73.32      1233
OCNC            8.24   -73.319       381
ORTC           3.909   -75.246       470
PAM             7.34     -72.7      3679
PIZC           4.965    -77.36        84
POP2            2.54   -76.676      1983
PRA            3.714   -74.886       437
PRV           13.376   -81.363        38
PGA1           3.746   -71.572       209
PGA3           3.898   -71.566       210
PGA4           3.868   -71.418       198
PGA5           3.946   -71.315       215
PGA6           3.775   -71.332       181
PTB             6.54   -74.456       279
PTGC           4.199   -72.134       170
PTLC           0.171   -74.797       225
PTA            7.142   -77.809        78
QUET           4.381   -73.883     2.196
RUS            5.893   -73.083      3380
SJC            9.897    -75.18       609
URE            7.752   -75.533       225
PAL            4.906   -76.283       716
SML1C          8.863   -73.992        36
SPBC           5.652   -74.072       783
HEL            6.191   -75.529      2857
SMAR          11.164   -74.225       116
SBTC           4.477   -74.287      2727
SMORC          4.575    -74.17      2830
SOL            6.224   -77.405        60
TAM            6.435   -71.791       436
TOL            4.585    -75.32      2255
TUM            1.824   -78.727        83
TVCAC          4.718   -74.085      2689
URI           11.702   -71.993        97
VIL            4.111   -73.693      1110
YPLC           5.397    -72.38       696
YOT            3.983   -76.345      1059
ZAR            7.492   -74.858       200
