CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-29C EN [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,57.22,0.78,,17.37,,,,6.73,7.47,3.7,0.12,,1.46,4.07,0.17,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.98580122,,160.7061359,38.78676471,,,19.11130832,9.520791075,17.95223719,65.69820584,17.77383367,,,,,44.02890467,545.40627,19.10496957,145.2142495,4.316349959,,,,,,,,,,,,1.400862069,365.1242394,13.5015213,29.37849784,4.044624746,17.39350913,3.86663286,1.128296146,3.44193712,,3.105983773,0.60851927,1.831896552,,1.857251521,0.266227181,3.467292089,0.215517241,,,,,,,,,9.920131846,,5.020283976,1.394523327,,,,,,,,,,,,,,,,,,,,,,,,,1002540
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-02 ENC [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,57.34,0.76,,17.22,,,,6.37,7.36,3.63,0.12,,1.61,3.9,0.17,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.64748024,,161.5797925,37.06768775,,,19.36758893,9.226778656,45.28301326,71.01078725,17.23073123,,,,,45.32485178,573.2362,18.75617589,144.2008399,4.617049763,,,,,,,,,,,,2.180088933,364.451581,13.72900198,30.38013914,4.113117589,17.58893281,3.699357708,1.093132411,3.409090909,,3.013833992,0.599061265,1.846590909,,1.735424901,0.27173913,3.452322134,0.240859684,,,,,,,,,13.87104743,,5.101284585,1.426630435,,,,,,,,,,,,,,,,,,,,,,,,,1002541
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-29B EN [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,57.39,0.75,,17.32,,,,6.24,7.16,3.58,0.12,,1.62,4.05,0.17,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05103067,,153.2993967,37.26747109,,,19,10.3,19.25966,65.29622597,17.35168426,,,,,52.9725993,548.14428,19.42559075,155.7252388,3.938415,,,,,,,,,,,,2.406988436,377.6520865,14.29110106,30.65648611,4.179229512,17.7413273,3.827300151,1.093514329,3.475364505,,3.110859729,0.615887381,1.904223228,,1.778531926,0.2702363,3.619909502,0.251382604,,,,,,,,,28.62619407,,5.392156863,1.514580191,,,,,,,,,,,,,,,,,,,,,,,,,1002542
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-05 [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,58.9,0.75,,17.56,,,,6.1,6.79,3.35,0.12,,1.78,4.2,0.19,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.97978304,,145.3587278,29.93713018,,,17.27071006,8.604536489,49.35971063,64.75800712,17.58505917,,,,,49.82741617,495.70065,19.5882643,162.5924556,4.643428176,,,,,,,,,,,,2.058678501,402.4408284,15.58801775,33.72616001,4.4921536,19.00271203,3.944773176,1.109467456,3.661242604,,3.291420118,0.622534517,1.910749507,,1.842948718,0.277366864,3.883136095,0.265039448,,,,,,,,,9.849605523,,5.80004931,1.639546351,,,,,,,,,,,,,,,,,,,,,,,,,1002543
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-06 [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,59.24,0.73,,17.4,,,,5.88,6.47,3.17,0.12,,1.9,4.25,0.19,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.31520669,,138.1828248,29.73056102,,,16.03715551,7.763287402,48.95312248,65.21700012,17.2613189,,,,,55.33956693,523.8099,20.14640748,171.2536909,4.746616535,,,,,,,,,,,,2.768208661,436.7741142,15.92642717,34.43141683,4.563041339,18.7992126,3.998523622,1.162647638,3.592519685,,3.260334646,0.62746063,1.913139764,,1.950049213,0.289124016,4.121555118,0.270669291,,,,,,,,,11.63877953,,6.225393701,1.765501969,,,,,,,,,,,,,,,,,,,,,,,,,1002544
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-08 [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,59.34,0.74,,16.95,,,,5.75,6.4,3.09,0.12,,1.88,4.22,0.18,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1334348,,133.8977676,27.42897007,,,15.7470827,7.654743785,43.7500454,66.01931536,17.21841705,,,,,55.90436327,514.58005,19.68543886,174.4609335,5.163848775,,,,,,,,,,,,2.752409944,416.6793506,15.56950786,33.77566749,4.46399036,18.77853881,3.976407915,1.109842719,3.602232369,,3.278792491,0.627853881,1.953323186,,1.85819381,0.291730086,4.103247083,0.253678336,,,,,,,,,11.53602232,,6.272196854,1.807458143,,,,,,,,,,,,,,,,,,,,,,,,,1002545
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-09 [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,60.83,0.72,,17.12,,,,5.53,6.06,3,0.12,,2.05,4.37,0.18,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.56079464,,127.5909526,27.08831977,,,53.32096697,7.288176161,35.47427752,63.94746326,16.86811872,,,,,63.1402585,478.0433,21.13451412,190.5756343,5.154032887,,,,,,,,,,,,3.087601723,444.1239828,16.65868837,36.2937071,4.784550024,20.18908569,4.134753471,1.124940163,3.721876496,,3.44662518,0.664193394,2.070368597,,2.00454763,0.311153662,4.5117281,0.293202489,,,,,,,,,10.47151747,,5.947821924,1.687410244,,,,,,,,,,,,,,,,,,,,,,,,,1002546
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-03 [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,61.85,0.67,,16.69,,,,5.04,5.14,2.48,0.11,,2.35,4.6,0.18,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95810197,,105.2688036,22.46971227,,,12.50630994,5.716809692,29.28294665,62.7991697,17.64260475,,,,,73.71277133,394.44119,22.28041393,214.4687027,5.545633458,,,,,,,,,,,,3.779656739,494.5229682,18.34300858,39.68480515,5.164923019,21.17617365,4.467440687,1.14209995,3.994194851,,3.533568905,0.681474003,2.145381121,,2.176930843,0.328117113,5.085815245,0.372286724,,,,,,,,,14.7274104,,8.209237759,2.315749621,,,,,,,,,,,,,,,,,,,,,,,,,1002547
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-04 [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,61.91,0.67,,16.73,,,,5.1,5.31,2.48,0.11,,2.28,4.68,0.17,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.90506329,,108.1202532,22.56329114,,,12.75949367,6.905063291,34.66270652,61.25019829,17.34810127,,,,,71.40506329,408.96017,21.81012658,211.8924051,5.466543418,,,,,,,,,,,,3.67721519,484.6962025,17.63291139,38.31334975,4.997620253,20.43037975,4.373417722,1.151898734,3.873417722,,3.525316456,0.670886076,2.151898734,,2.120253165,0.316455696,5.069620253,0.35443038,,,,,,,,,13.44936709,,7.981012658,2.265822785,,,,,,,,,,,,,,,,,,,,,,,,,1002548
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-07 [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,62.3,0.66,,16.62,,,,4.91,5.05,2.4,0.11,,2.37,4.62,0.17,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.26399208,,100.068103,19.22981674,,,11.90564636,5.553491828,29.83293328,62.08859435,17.49628529,,,,,75.48291233,400.30915,22.40589401,216.9328876,6.29680557,,,,,,,,,,,,3.807578009,499.1456166,17.68821199,39.57391079,5.197337791,21.19861317,4.370975731,1.132986627,3.888063398,,3.566121842,0.681030213,2.204061417,,2.135958395,0.328132739,5.132491332,0.365279842,,,,,,,,,13.73823675,,8.444774641,2.420752848,,,,,,,,,,,,,,,,,,,,,,,,,1002549
