station id,lon,lat,area,elev
1112200,-11.38,13.23,15000,329.1
1112400,-11.23,12.31,9300,406.8
1134050,-8.17,11.58,34200,494.6
1134200,-6.8,12.52,32500,411.9
1147200,17.38,-3.18,737640,844.5
1147201,20.58,-4.33,232560,892.6
1159900,29.23,-27.17,4152,1690.8
1160200,18.12,-30.82,2351,761.1
1160220,19.28,-32.78,267,1105
1160400,22.35,-34.01,145,476
1160450,23.3,-33.74,53,914
1160550,26.82,-32.18,462,1389.4
1160600,27.39,-33.19,2530,640.6
1160650,29.83,-30.73,728,822.6
1160680,29.47,-29.78,545,1760.7
1160700,29.9,-29.74,1744,1611.5
1160710,30.15,-29.44,353,1194
1160720,30.09,-29.51,294,1397.2
1160750,30.25,-29.07,1546,1396.9
1160800,29.98,-27.44,683,1615.2
1196300,27.48,-24.16,1054,1395.4
1196350,27.76,-25.78,1171,1527.6
1196500,29.58,-23.07,6731,1126.9
1196700,30.8,-24.68,514,1089.6
1199100,30.59,-26.28,906,1629.4
1257100,19.77,-17.9,104058,1329.9
1258100,13.57,-19.17,11000,1245.3
1258300,15.63,-21.42,3703,1474.3
1258350,15.97,-21.83,4054,1429
1258510,15.77,-23.47,2490,1633.3
1259110,18.22,-26.8,7000,1166.2
1259300,27.9,-29.43,83,2286
1259400,17.12,-26.43,4140,1418
1259440,18.65,-23.08,9300,1445
1259450,18.7,-23.12,8308,1445
1259500,28.62,-28.73,57,2743
1286150,34.18,-8.85,433,1602
1286600,36.43,-7.57,3363,1088.3
1289400,37.8,-7.02,488,280.3
1291100,24.3,-17.48,339521,1128.5
1291200,23.34,-17.68,170000,1141.6
1308110,-4.9,32.75,960,2048.5
1308600,-3.32,34.24,24422,1321.6
1309600,-5.9,32.68,3330,1545.9
1309810,-4.5,33.67,3435,1799
1309850,-4.55,34.6,1758,1180.9
1326300,9.97,4.45,8026,859.7
1326500,10,5.12,2280,1296.6
1326701,10.73,3.23,1150,741.2
1335014,13.68,9.05,30650,549.7
1335181,13.87,9.62,25000,480.7
1337100,13.57,7.22,1690,1336.7
1338201,14.13,5.92,11100,974.3
1339012,12.52,3.88,5300,710.7
1339014,10.7,3.68,21600,721.2
1339500,11.5,3.52,13555,709.4
1340500,11.3,2.3,18100,640.8
1348100,12.77,3.38,5150,690
1348151,14.32,4.23,8970,800.3
1389320,45.07,-24.7,5330,516.6
1389720,48.6,-18.8,1910,768.1
1389820,49.25,-18.18,2545,770.7
1448100,16.05,1.62,158350,672.6
1491610,30.32,-18.82,2662,1397.4
1491820,31.5,-17.53,829,1296.2
1494100,32.8,-19.85,131,1390
1537500,18.42,9.15,193000,583.7
1591001,23.25,-16.12,284538,1156.8
1591002,23.23,-14.38,206531,1190.5
1591100,23.15,-13.33,3354,1272.9
1591400,27.17,-11.78,433,1312.2
1591404,25.92,-14.93,96239,1230.5
1591405,27,-14.42,50479,1218.1
1591406,27.62,-13.65,23065,1268.5
1591410,28.02,-16.17,630,838
1591441,27.35,-12.92,2668,1288
1591471,28.13,-13.25,12001,1274.2
1591480,28.25,-12.88,9088,1289
1591490,27.13,-11.87,110,1310
1591720,28.55,-14.3,1448,1177
1591810,28.33,-15.33,303,1194.8
1591820,22.68,-14.97,34621,1113.2
1593100,28.75,-11.97,123072,1297.8
1593500,29.97,-8.9,707,1415.2
1593600,28.95,-9.85,303,1102
1593740,30.97,-10.18,6418,1403.1
1593751,31.48,-11.73,179,1457.7
1593770,31.37,-10.13,39,1250
1634400,-9.87,10.65,18000,504.1
1634500,-9.3,10.38,9620,583.4
1643100,10.23,-0.68,205000,473.2
1733100,2.67,9.2,10326,340.7
1733200,2.03,7.53,6950,171
1733320,2.72,8.25,9600,350.7
1733400,2.33,7.12,8210,151.1
1734600,3.33,11.75,13410,305.1
1749050,18.3,3.67,31000,631.3
1749100,18.58,4.37,500000,806.8
1812500,-12.45,14.9,218000,351.3
1812600,-12.22,14.45,28900,238.5
1931070,-4.47,11.47,4580,379.5
1931180,-3.55,12.52,14800,340
1931295,-3.4,12.75,20000,332
1992320,34.23,-11.78,2320,657
1992490,33.57,-13.3,6737,1093.3
1992600,33.77,-13.99,1891,1212.8
1992620,33.69,-14.17,753,1261.8
1992680,34.58,-14.79,2,914
1992830,35.29,-16.01,498,804.8
1992850,35.67,-16.08,193,586.8
1992900,35.13,-16.55,149500,889.3
2357750,80.2,6.18,681,255.2
2469049,102.18,19.79,6100,1145.2
2469050,102.14,19.89,268000,2866.3
2469072,102.62,17.93,299000,2584.1
2548400,81.29,28.64,42890,3950.7
2548450,81.12,28.96,21240,4196.7
2548460,81.44,28.95,19240,4547.4
2549300,83.6,28.01,6630,3826.9
2549500,84.43,27.71,31100,3701.6
2901200,169,65.08,47300,569.5
2901201,172.97,65.45,106000,469.4
2901300,166.03,62.42,71600,448.7
2902800,160.85,56.3,45600,565.9
2902850,161.67,56.27,51600,549.1
2903050,114.17,57.82,186000,1111.3
2903070,134.93,60.6,24200,1022
2903080,134.75,59.75,165000,900.3
2903081,135.28,59.23,43600,1024.5
2903087,130.9,57.77,108000,986.2
2903100,116.14,58.44,4790,939.8
2903150,134.13,62.22,65400,423.1
2903151,131.98,60.9,56800,476.1
2903152,127.05,59.67,23900,555.6
2903200,118.68,61.91,1290,277.4
2903215,114.5,55.58,15600,1429.6
2903240,114.85,56.37,9900,1375.5
2903300,108.12,57.67,46500,795.6
2903307,107.85,56.58,4800,1129.8
2903310,107.23,57.28,5160,520.6
2903315,106.55,57.08,5720,681.1
2903320,106.08,56.88,175,510.4
2903325,105.45,54.87,7100,825.3
2903330,105.07,56.85,11200,481.7
2903331,105.01,57.12,6480,516.4
2903335,104.67,56.67,2220,475.8
2903340,104.85,54.72,7600,787.5
2903343,104.73,54.65,1420,685.5
2903345,105.48,54.03,2480,825.5
2903351,106.57,53.75,1450,916.7
2903357,106,53.53,3280,860.8
2903360,106.99,53.83,577,869.9
2903400,124.75,55.98,613,997.2
2903401,125.45,56.95,13300,888.9
2903402,127.05,58.65,43700,928.4
2903420,127.65,70.7,2430000,600.5
2903421,107,53.82,4690,986
2903422,105.88,53.97,17400,880.4
2903424,105.23,55.13,41700,813
2903426,108.32,57.78,140000,743
2903429,129.6,61.83,897000,737.1
2903430,126.8,72.37,2460000,567.9
2903432,125.48,58.05,1900,926.5
2903475,128.65,61.05,12200,461.5
2903479,124.26,60.44,14400,529.2
2903480,121.32,59.37,115000,794
2903490,119.84,59.98,62500,900.1
2903491,118.28,56.9,4150,1336
2903495,120.8,60.9,16600,287
2903497,119.62,60.3,9700,319.9
2903600,132.02,63.32,696000,772.1
2903601,135.5,61.87,514000,843.5
2903602,133.03,59.63,269000,701.3
2903604,126.27,58.97,49500,780.1
2903605,123.72,58.07,18500,870.4
2903630,116.8,60.17,27600,826.7
2903640,114.73,60.27,32600,427.4
2903642,114.73,60.27,11700,497.2
2903645,114.08,60.23,2610,382.9
2903647,112.4,59.83,13600,405.6
2903651,113.95,57.65,9120,1176.6
2903652,114,57.18,3740,1324.5
2903653,113.95,57.65,971,1081
2903655,112.5,57.57,4920,1176
2903704,109.58,64.08,57300,519.7
2903720,117.03,63.5,89600,373
2903721,116.55,64.14,78700,415.4
2906200,117.72,52.25,175000,1090.2
2906201,119.97,53.42,200000,1072.9
2906300,129.92,49.78,67400,714.5
2907005,109.81,54.51,94,1505
2907008,109.93,53.87,30,625
2907010,109.6,53.6,19800,1301.3
2907011,110.42,54.38,9350,1411.3
2907012,109.7,53.63,177,900.8
2907013,109.92,53.52,290,1295.6
2907014,110.25,53.73,3270,1498.1
2907015,110.52,54.47,189,708.2
2907016,110.72,54.25,1100,1722.7
2907018,108.73,53.25,440,801.9
2907019,108.73,52.92,5050,1234
2907020,107.63,51.83,34700,1043.9
2907021,109.75,52.15,7850,977.6
2907025,109.73,52.1,7800,983.7
2907027,109.88,52.23,3580,1126.5
2907030,108.52,52.05,5500,1066.7
2907031,108.92,52.38,3620,1212.6
2907035,108.07,52.6,1740,1172
2907037,107.13,52.57,379,967.5
2907038,107.63,52.2,2120,888.7
2907040,106.97,51.2,38300,1049.4
2907041,107.82,50.62,29600,1072.4
2907042,110.47,51.35,15400,1106.9
2907043,108.4,50.83,25711,1073.9
2907050,108.62,50.88,2290,1150.6
2907060,106.63,50.92,44700,1369.3
2907061,108.63,50.3,15600,1409.9
2907065,109.55,50.45,2010,1369.6
2907070,108.05,49.88,2120,1487.3
2907080,106.12,50.63,23300,1335.6
2907081,103.93,50.43,8480,1492.1
2907085,105.98,51.1,4240,1266.7
2907087,102.8,50.7,1030,1562.8
2907100,104.31,51.36,1130,1540.9
2907105,104.42,51.47,204,1360
2907110,104.07,51.53,959,1663.7
2907115,104.15,51.52,15,914
2907120,103.65,51.67,63,1006
2907125,103.73,51.65,56,1326
2907200,106.44,51.76,565,1132.9
2907210,106.02,51.78,558,1089.6
2907215,105.87,51.72,151,975.5
2907227,104.63,51.43,3000,1460
2907400,107.48,52.03,440200,1478.2
2907401,107.65,52.07,445000,1475.6
2907402,106.67,51.1,360000,1666.4
2907403,106.12,50.4,282000,1744.7
2907410,106.68,52.02,320,1072.9
2907415,106.85,52.03,255,965
2907420,107.27,52.15,193,762
2907422,106.97,51.53,1840,773.6
2907910,109.78,55.88,1050,1077.6
2907920,109.05,55.7,297,1129.7
2907925,109.18,55.33,567,1101.4
2907935,106.07,52.55,1700,834.7
2907940,105.42,52.05,2260,652.5
2908010,96.63,57.37,51000,648.7
2908011,98.37,56.37,31800,804
2908012,97.78,55.97,24700,886.1
2908015,97.83,54.47,1770,1395.5
2908020,97.6,55.53,7940,1095.4
2908025,98.68,55.55,1990,455.6
2908028,96.9,54.22,783,1838.6
2908030,94.77,57.4,9070,240.2
2908037,96.57,56.18,2390,387.5
2908038,96.23,55.73,948,477.4
2908040,100.05,56.13,2130,500.7
2908050,94.32,57.82,127000,743.6
2908060,99,58.1,9320,304
2908065,97.38,58.03,4190,310.7
2908106,110.15,55.85,20600,1424.4
2908125,100.08,54.18,2400,766
2908127,100.6,54.08,2950,850
2908128,100.33,54.63,1120,588.1
2908130,101.5,56.62,3840,515.5
2908145,102.78,58.3,3380,347.2
2908150,104.28,52.28,15000,1377.4
2908151,103.27,51.78,11600,1745.5
2908152,102.6,51.72,6560,1836.5
2908153,100.98,51.68,1200,2119.5
2908157,102.85,51.72,4160,1644.5
2908160,103.87,52.57,8420,1177.1
2908165,103.27,52.2,1070,1064.6
2908170,104.28,52.45,7840,709.5
2908182,102.43,52.77,3990,1246.1
2908183,101.85,52.88,3230,1636.2
2908184,102.05,52.73,1970,1506.7
2908187,103.8,53.38,1870,693.1
2908190,102.02,54.5,33400,1303.1
2908194,101.35,53.7,2550,627.8
2908196,101.57,53.42,1770,777.1
2908200,100.65,54.58,14500,1092.9
2908201,99.92,53.92,5140,1507.5
2908205,103.7,54.18,812,744.4
2908301,98.22,53.63,4980,1908.6
2908302,99.25,54.07,17200,1220.4
2908305,94.32,57.82,127000,743.6
2908310,99.4,55.05,1140,626.3
2908600,93.55,58.35,1880,332.1
2908650,97.23,58.8,8950,325.4
2908680,99.38,59.13,13300,325.3
2909100,86.55,67.51,323,64.8
2909159,92.28,52.12,168000,1652.5
2909160,94.4,51.72,115000,1683.4
2909161,94.47,51.88,56500,1565.4
2909162,94.93,52.5,44600,1596.3
2909163,96.1,52.47,15600,1641.2
2909165,95.57,51.5,53300,1923.1
2909166,96.25,51.33,42300,1992.7
2909200,97.42,52.75,4890,1887.5
2909215,95.67,51.37,5980,1431.6
2909230,95.52,52.7,4430,1210.1
2909250,92.66,52.03,6110,1361
2909260,91.25,53.58,31300,1145.5
2909261,90.1,52.65,14400,1511.9
2909265,91.78,53.7,176,502.6
2909268,90.18,52.63,2350,1353.7
2909269,89.88,52.8,1940,763.1
2909270,89.83,52.38,4410,1714.7
2909271,89.75,52.07,1040,1923.5
2909290,92.43,53.28,2540,881.4
2909295,92.82,53.22,1000,923.6
2909300,92.5,54.33,1480,706.9
2909314,92.87,53.8,31800,1094.7
2909315,92.83,53.72,9850,943.3
2909316,93.07,53.33,5270,1113.3
2909318,93.2,53.32,1680,1155.1
2909319,93.02,53.62,959,746.6
2909320,93.48,53.8,11900,1283.8
2909321,94.17,53.68,9160,1465.2
2909323,93.15,53.9,9080,1083.6
2909327,92.93,54.1,196,660.7
2909330,92.13,54.95,2810,765.4
2909335,92.5,55.9,9260,830.1
2909356,92.62,56.18,561,532.8
2909360,93.95,56.42,36800,750.8
2909361,95.7,56.22,23000,786
2909362,95.48,55.65,8710,826.3
2909368,95.73,55.7,11500,956.5
2909369,94.88,55.25,1180,818.8
2909370,95.85,55.45,3600,754.3
2909375,95.43,56.12,1150,346
2909380,93.13,56.92,788,225.9
2909390,93.48,59.12,15100,471.9
2909391,92.83,58.8,19500,430
2909392,92.85,58.78,1250,344.9
2909395,92.17,57.82,1320,204
2909398,92.45,57.95,2860,207.4
2909400,92.12,62.32,218000,463.8
2909401,96.38,61.68,159000,468.3
2909402,97.52,60.73,68400,472.1
2909403,103.32,59.63,16700,497.5
2909410,92.5,60.37,2910,524.4
2909430,100.47,61.33,30400,517.7
2909431,102.8,61.75,13300,518.2
2909540,86.28,62.48,16300,134.4
2909550,88.48,61.3,8360,145.9
2909560,88.33,60.35,22800,129.4
2909570,89.3,59.42,7640,140
2909580,88.32,69.42,19800,482.5
2909700,108.41,58.28,8270,498.2
2909701,107.83,57.87,4160,496.4
2909702,108.02,61.27,77400,483
2909703,103.97,53.58,155000,449.5
2909704,100.27,64.27,268000,450.3
2909705,90.02,65.63,447000,505.9
2909710,90.12,65.65,9100,453.2
2909720,98.9,64.95,18900,648.5
2909730,101.12,62.72,14800,487
2909752,106.35,59.3,15000,507.9
2910100,74.02,60.5,22100,86.5
2910101,73.82,60.27,18300,86.6
2910105,74.53,60.6,8130,88.4
2910110,74.05,64.8,13500,91
2910120,68.93,61.45,11500,94.5
2910130,70.67,61.7,12800,88.5
2910141,85.25,56.32,402,201.8
2910150,72.15,61.63,11800,90.7
2910170,78.55,61.05,56400,111.9
2910200,81.95,59.85,24500,97.7
2910201,84.08,60.35,10100,111.3
2910210,82.83,59.37,6500,115
2910230,83.67,58.42,71500,163
2910231,86.82,58.65,38400,175.9
2910237,86.07,58.77,8740,119.5
2910241,78.22,59.22,31700,88.5
2910242,76.47,58.55,19000,90.3
2910243,77.28,57.78,3730,101.7
2910247,78.43,59.02,8040,88.7
2910250,80.6,58.17,17900,104.8
2910254,81,57.7,7440,106.9
2910257,80.15,57.83,7090,93.9
2910260,82.63,57.78,25000,109.8
2910265,82.92,57.53,5210,111.4
2910266,83.07,56.85,2560,122
2910270,82.22,57.48,6610,116.6
2910275,82.1,57.57,9100,109.6
2910279,81.67,57.08,2330,128.7
2910287,82.47,55.12,1350,151.6
2910290,83.62,56.55,8190,133.4
2910300,84.92,56.5,57000,499.7
2910310,85.15,57.78,131000,411
2910311,86.13,57.25,109000,462.7
2910312,86.62,56.85,92500,468.3
2910313,88.1,57.33,55300,476.7
2910314,89.93,56.17,33800,604.8
2910318,91.62,55.38,14700,700.9
2910319,89.87,55.03,9990,830.2
2910320,86.28,57.83,7720,132.5
2910321,86.42,57.57,5210,153
