2000-01-08T16:47:14 131  -16.855 -174.203   7.2   17518453.5988  1556057.9517 0.17765
2000-01-13T20:07:12 502  -17.55 -178.714   6.2   17278323.5585  993298.9628 0.11498
2000-01-15T12:49:43 601  -21.127 -179.203   6   13566114.5443  417836.4362 0.0616
2000-01-19T07:09:33 206  36.387 70.381   6   11028244.268  1179606.2899 0.21392
2000-01-28T16:39:23 185  26.062 124.547   6   61493902.6588  1411099.2501 0.045894
2000-02-13T02:57:07 502  42.863 131.68   6   5602453.8363  214779.2799 0.076673
2000-02-26T08:11:48 133  13.757 144.82   6.2   7006041.5827  101123.1224 0.028867
2000-03-03T22:09:15 162  -7.34 128.62   6.4   30196968.2463  1106650.5838 0.073295
2000-04-03T15:20:02 162  4.095 125.592   6.2   41391584.0238  1324766.1536 0.064011
2000-04-18T17:28:08 182  -20.59 -176.437   5.9   19152275.9785  394198.3549 0.041165
2000-04-23T17:01:17 605  -28.332 -62.926   6.1   9861919.8214  4776275.5444 0.96863
2000-05-08T10:28:25 503  -4.457 150.017   6.1   26972577.9448  763618.572 0.056622
2000-05-12T18:43:15 194  -23.779 -66.74   7.1   13082271.0856  428657.4833 0.065533
2000-06-09T23:31:46 494  30.453 137.745   6.3   6925516.8062  836080.1344 0.24145
2000-06-09T22:35:15 491  30.429 137.701   5.8   6179626.3707  1224355.931 0.39626
2000-06-14T17:00:50 116  4.505 127.683   6.3   13859612.8696  993770.6649 0.14341
2000-06-14T02:15:28 631  -25.626 178.058   6.4   17427972.3533  1888235.9894 0.21669
2000-06-21T16:25:08 131  14.037 144.932   5.9   7896016.2177  790018.6973 0.20011
2000-07-10T10:39:39 107  -4.501 103.766   5.8   28922348.9463  535370.7193 0.037021
2000-07-10T09:58:18 353  46.846 145.381   5.8   36927545.5968  1716111.3227 0.092945
2000-07-15T07:13:45 228  -7.024 128.935   5.9   13921250.1803  200836.2507 0.028853
2000-07-17T22:53:44 114  36.265 70.958   6.3   16198280.5909  1015077.0135 0.12533
2000-08-06T07:27:14 417  28.795 139.598   7.3   28726236.9339  1185589.1923 0.082544
2000-08-07T14:33:56 666  -6.979 123.425   6.5   28854656.4992  4883942.3031 0.33852
2000-08-15T04:30:08 350  -31.561 179.744   6.6   59515860.5518  1223845.5773 0.041127
2000-09-02T17:02:17 650  -19.953 -179.084   6   15825586.3614  327533.5095 0.041393
2000-09-11T17:17:53 117  -15.912 -173.662   6.3   14073298.4119  617630.1689 0.087773
2000-09-26T16:49:35 160  1.122 127.529   5.8   20888022.9861  310865.0392 0.029765
2000-10-04T14:37:45 113  11.153 -62.481   6.1   5331799.0409  363165.55 0.13623
2000-10-21T22:30:33 162  13.734 120.747   5.8   34421675.7476  462292.7058 0.026861
2000-12-21T02:41:23 392  -5.385 154.165   5.9   9867593.6426  257661.3313 0.052224
2000-12-22T10:13:01 145  44.788 147.197   6.2   13204741.8781  400742.9235 0.060697
2001-01-09T16:49:29 113  -14.967 167.193   7.1   88641737.3428  1035975.8983 0.023374
2001-02-25T02:21:58 186  36.482 70.865   6.2   10216511.0992  1630221.0403 0.31913
2001-03-14T18:56:21 135  0.394 121.923   6   21046177.1117  672177.9503 0.063876
2001-04-28T04:49:51 341  -18.059 -176.937   6.9   10284221.1288  1393450.6655 0.27099
2001-05-19T17:36:26 375  -19.936 -177.492   5.9   22211528.3055  658848.6949 0.059325
2001-05-25T05:06:08 131  -7.864 110.127   6.3   8046784.8984  834163.3372 0.20733
2001-05-26T10:57:24 392  -20.299 -177.833   6.4   8086190.5305  196869.2438 0.048693
2001-06-03T02:41:58 188  -29.681 -178.615   7.1   18292515.0323  817625.957 0.089395
2001-06-19T09:32:24 145  -22.829 -67.975   6   12720331.5538  482797.5763 0.07591
2001-06-29T18:35:50 272  -19.725 -66.272   6.1   16598301.4023  964879.9209 0.11626
2001-07-03T13:10:46 325  21.635 142.988   6.5   10035202.6043  1160181.9093 0.23122
2001-07-04T07:06:30 179  -21.735 -176.727   6.5   24399852.7739  319431.2896 0.026183
2001-07-28T07:32:43 134  59.014 -155.089   6.8   14267985.4666  227296.2338 0.031861
2001-09-12T08:48:37 611  -21.015 -179.06   6.4   12500680.2846  715959.8731 0.11455
2001-09-18T02:19:31 145  -7.513 127.71   6   10331671.135  258376.7861 0.050016
2001-09-22T03:23:38 178  3.887 -75.895   5.9   19225208.1682  612720.3288 0.063741
2001-10-03T17:25:12 277  47.077 148.63   5.9   14398157.8815  354121.121 0.04919
2001-11-05T23:07:10 552  -17.339 -179.156   6.3   11672908.034  1460687.7159 0.25027
2001-12-02T13:01:53 123  39.437 141.156   6.5   29301854.2005  561364.1208 0.038316
2001-12-02T02:47:57 112  -12.786 166.661   6   17106628.6979  1735153.1226 0.20286
2001-12-27T10:54:53 173  -14.734 167.239   6.1   7315446.3917  287639.1864 0.078639
2002-01-01T11:29:22 140  6.282 125.749   6.3   24161484.4697  198112.0174 0.016399
2002-01-03T07:05:26 115  36.039 70.679   6.2   13184068.3118  291458.8894 0.044214
2002-01-07T13:26:29 634  18.933 144.971   5.9   14384709.9551  1238313.9446 0.17217
2002-02-01T21:55:20 353  45.404 136.682   5.9   14557009.171  2135491.5676 0.2934
2002-03-03T12:08:18 209  36.496 70.517   7.3   84731303.9019  1001494.6068 0.023639
2002-03-19T22:14:16 166  -6.507 129.888   6.1   12694702.3675  1245999.0366 0.1963
2002-05-04T07:00:48 562  -17.94 -178.703   5.8   5288202.3716  331131.9259 0.12523
2002-06-03T09:15:02 507  27.454 139.912   5.9   7336790.7738  229426.7285 0.062541
2002-06-28T17:19:30 568  43.763 130.665   7.3   13060079.2896  1723982.0248 0.26401
2002-06-30T21:29:36 627  -22.237 179.239   6.5   5811917.3347  362069.5972 0.1246
2002-08-02T23:11:38 425  29.186 139.115   6.3   6169395.1333  493815.5136 0.16009
2002-08-12T02:59:24 112  -19.423 168.999   6   11336172.3847  1152052.9489 0.20325
2002-08-19T11:08:22 650  -23.868 178.454   7.7   72679870.0698  4091997.9169 0.1126
2002-09-15T08:39:31 574  44.763 130.042   6.4   12375714.8339  691351.7074 0.11173
2002-09-24T03:57:20 105  -31.449 -69.139   6.3   16409249.1524  524045.2723 0.063872
2002-10-03T19:05:11 326  -7.513 115.677   6   24192220.1094  1329879.3242 0.10994
